County,State,INflow,OUTflow,NET in,GROSS out
Lehigh County,Pennsylvania,21341.0,19908.0,317.0,40133.0
Lemhi County,Idaho,613.0,356.0,249.0,961.0
Lenawee County,Michigan,5903.0,5169.0,527.0,10865.0
Lenoir County,North Carolina,2867.0,2582.0,210.0,5374.0
Leon County,Florida,31391.0,23707.0,5911.0,53325.0
Leslie County,Kentucky,376.0,1023.0,-654.0,1392.0
Letcher County,Kentucky,531.0,1063.0,-596.0,1530.0
Levy County,Florida,2830.0,2240.0,539.0,5019.0
Lewis County,Idaho,9461.0,8160.0,1050.0,17370.0
Lewis and Clark County,Montana,4456.0,3447.0,833.0,7727.0
Lexington City,Virginia,1300.0,625.0,612.0,1862.0
Lexington County,South Carolina,18088.0,17855.0,-635.0,35075.0
Liberty County,Florida,22697.0,15285.0,6284.0,36854.0
Licking County,Ohio,10130.0,9391.0,365.0,19147.0
Limestone County,Alabama,8379.0,6522.0,1713.0,14757.0
Lincoln County,Arkansas,38827.0,34706.0,2479.0,71891.0
Lincoln Parish,Louisiana,3719.0,3144.0,380.0,6668.0
Linn County,Iowa,21601.0,19864.0,937.0,40665.0
Lipscomb County,Texas,151.0,167.0,-20.0,314.0
Litchfield County,Connecticut,7279.0,8731.0,-1668.0,15794.0
Little River County,Arkansas,855.0,555.0,291.0,1401.0
Live Oak County,Texas,1085.0,552.0,491.0,1595.0
Livingston County,Illinois,16791.0,19158.0,-2739.0,35577.0
Livingston Parish,Louisiana,5481.0,6391.0,-1221.0,11561.0
Llano County,Texas,2149.0,1050.0,1065.0,3165.0
Logan County,Arkansas,14162.0,13517.0,250.0,27284.0
Long County,Georgia,2613.0,1681.0,932.0,4294.0
Lonoke County,Arkansas,4617.0,5654.0,-1240.0,10068.0
Lorain County,Ohio,13977.0,13487.0,-122.0,26852.0
Los Alamos County,New Mexico,1538.0,2006.0,-663.0,3349.0
Los Angeles County,California,267518.0,325093.0,-123418.0,526768.0
Loudon County,Tennessee,2714.0,2212.0,488.0,4912.0
Loudoun County,Virginia,27958.0,26084.0,-2066.0,50102.0
Louisa County,Iowa,2377.0,2869.0,-552.0,5186.0
Loup County,Nebraska,56.0,26.0,30.0,82.0
Love County,Oklahoma,693.0,773.0,-80.0,1466.0
Loving County,Texas,0.0,66.0,-66.0,66.0
Lowndes County,Alabama,11690.0,12052.0,-1037.0,23067.0
Loíza Municipio,Puerto Rico,789.0,629.0,150.0,1408.0
Lubbock County,Texas,30745.0,18328.0,10592.0,47248.0
Lucas County,Iowa,19665.0,19882.0,-1179.0,38585.0
Luce County,Michigan,805.0,364.0,423.0,1151.0
Lumpkin County,Georgia,3090.0,2769.0,275.0,5813.0
