County,State,crime_rate_per_100000,INflow,OUTflow,NET in,GROSS out
stark county,il,84.64533604,15991.0,15965.0,-818.0,31112.0
ripley county,in,84.45054365,1962.0,1786.0,121.0,3693.0
loudoun county,va,84.36308729,27958.0,26084.0,-2066.0,50102.0
aroostook county,me,84.21954179,2009.0,1877.0,67.0,3821.0
charles city county,va,84.15147265,387.0,385.0,-28.0,742.0
bear lake county,id,84.13259297,401.0,364.0,-1.0,727.0
jones county,ga,84.00714061,9018.0,8695.0,283.0,17673.0
dickenson county,va,83.94679065,370.0,569.0,-211.0,927.0
medina county,oh,83.46911357,11861.0,12337.0,-727.0,23947.0
crosby county,tx,83.45852112,400.0,409.0,-39.0,779.0
carson county,tx,83.19467554,470.0,604.0,-134.0,1074.0
rankin county,ms,83.12495316,11062.0,8987.0,1842.0,19816.0
douglas county,co,83.0165739,110262.0,101363.0,1777.0,204503.0
tompkins county,ny,82.99796365,15535.0,8948.0,4440.0,22336.0
portage county,oh,82.99666793,19050.0,13413.0,4361.0,31187.0
nance county,ne,82.80430582,191.0,293.0,-102.0,484.0
ottawa county,ks,82.75405495,26971.0,20956.0,5077.0,46989.0
rush county,in,82.33356857,761.0,1254.0,-510.0,1998.0
sterling county,tx,82.03445447,37.0,158.0,-121.0,195.0
winona county,mn,81.98001249,4339.0,3305.0,818.0,7428.0
fauquier county,va,81.83671344,5690.0,5539.0,-159.0,10919.0
pepin county,wi,81.52173913,269.0,257.0,-12.0,502.0
cleveland county,ar,81.46165484,33351.0,24165.0,8045.0,56375.0
sanpete county,ut,81.45341219,3911.0,2582.0,1193.0,6357.0
becker county,mn,81.24943577,1624.0,2300.0,-773.0,3827.0
kimball county,ne,81.03727715,348.0,173.0,159.0,505.0
middlesex county,ct,80.93644677,162299.0,153331.0,-21765.0,284897.0
harlan county,ky,80.70458613,1043.0,1212.0,-225.0,2199.0
andrew county,mo,80.25222127,694.0,1189.0,-502.0,1876.0
rappahannock county,va,80.23535705,537.0,461.0,68.0,990.0
blackford county,in,80.12178511,1127.0,1119.0,-11.0,2227.0
chisago county,mn,79.98363126,3925.0,4216.0,-325.0,8107.0
glasscock county,tx,79.93605116,164.0,59.0,20.0,138.0
lamoille county,vt,79.78617306,2286.0,1881.0,347.0,4109.0
fairfax county,va,79.75779097,87347.0,86307.0,-15898.0,156716.0
price county,wi,79.69859441,791.0,739.0,29.0,1507.0
yates county,ny,79.50389569,992.0,1343.0,-380.0,2306.0
gillespie county,tx,78.8736838,1735.0,1583.0,-94.0,3072.0
hancock county,ga,78.83770695,19926.0,19865.0,-718.0,39012.0
ralls county,mo,78.49293564,451.0,842.0,-391.0,1293.0
clermont county,oh,78.41452816,11754.0,12269.0,-830.0,23708.0
bosque county,tx,78.40940913,1173.0,1009.0,152.0,2170.0
san miguel county,co,78.14535035,2561.0,2434.0,-6.0,4862.0
greeley county,ks,77.51937985,130.0,205.0,-80.0,330.0
cottonwood county,mn,77.47933884,585.0,645.0,-116.0,1174.0
roseau county,mn,77.31958763,417.0,803.0,-399.0,1207.0
van wert county,oh,77.304192,1106.0,1825.0,-756.0,2894.0
thayer county,ne,77.08614377,220.0,286.0,-68.0,504.0
rooks county,ks,77.07129094,185.0,247.0,-66.0,428.0
beaverhead county,mt,74.93844342,1008.0,1604.0,-635.0,2573.0
sutton county,tx,74.8876685,156.0,156.0,0.0,312.0
montmorency county,mi,74.86631016,721.0,483.0,226.0,1192.0
guthrie county,ia,74.85730327,728.0,635.0,75.0,1345.0
buena vista city,va,74.8502994,997.0,664.0,329.0,1657.0
benzie county,mi,74.59260959,941.0,1203.0,-301.0,2105.0
emery county,ut,74.42552796,517.0,546.0,-29.0,1063.0
bottineau county,nd,74.2280285,676.0,663.0,2.0,1328.0
wahkiakum county,wa,74.22068283,165.0,270.0,-105.0,435.0
harrison county,in,74.04948548,32777.0,27661.0,4433.0,59755.0
goochland county,va,73.98501803,2181.0,824.0,1286.0,2934.0
scotts bluff county,ne,73.27399045,2195.0,2021.0,130.0,4172.0
morrison county,mn,73.01046483,1691.0,1494.0,167.0,3155.0
tallahatchie county,ms,72.93946025,755.0,1159.0,-435.0,1883.0
mccreary county,ky,72.26638501,1208.0,1163.0,8.0,2334.0
door county,wi,71.69486665,1677.0,1051.0,512.0,2614.0
green county,ky,71.55635063,2767.0,2141.0,517.0,4799.0
